 , 每戶人數(人), 一、所得收入總計(元), 1.受僱人員報酬, 2.產業主所得, 3.財產所得收入, 4.自用住宅設算租金收入, 5.經常移轉收入, 6.雜項收入, 9.休閒與文化, 10.教育, 消費支出(元), 儲蓄(元), 所得總額(元)
 總平均,3,1568945,879117,191266,119970,107442,271027,123,76807,33161,1025150,295684,1688289
 民意代表、主管及經理人員,3.29,2614184,1706156,413273,177866,132679,184128,83,147466,54332,1445147,698340,2755826
 專業人員,3.42,2298034,1560163,251730,148048,126141,211827,125,130729,60358,1341730,514301,2436077
 農、林、漁、牧業生產人員,4,2029013,617850,1140884,24908,46473,198897,-,84580,63905,1132761,680419,2110279
 技術員及助理專業人員,3.36,1748116,1255362,48659,113877,109726,220435,57,83739,40684,1114115,321897,1865277
 服務及銷售工作人員,3.27,1433923,625692,420193,54209,88915,244790,124,58751,32661,939358,298987,1529349
 技藝有關工作人員,3.45,1422123,663013,394894,36106,88807,239046,256,58021,40552,951762,273102,1524644
 事務支援人員,3.09,1395474,908679,50478,77919,102939,255432,26,67886,24532,990264,182962,1516191
 機械設備操作及組裝人員,3.54,1300001,701697,248729,25630,80805,243095,45,40314,25858,859461,246699,1381578
 基層技術工及勞力工,2.92,988537,604764,50372,19659,64796,248759,187,37385,26200,726366,102064,1053599
 其他,2.03,881766,173061,-,185461,112603,410454,188,41215,7631,759385,46291,1015449
